company_id,company_name,headquarters_country,founded_year
1,Toyota,Japan,1937
2,BMW,Germany,1916
3,Ford,USA,1903
4,Mercedes-Benz,Germany,1926
5,Hyundai,South Korea,1967
6,Kia,South Korea,1944
7,Honda,Japan,1948
8,Audi,Germany,1909
9,Volkswagen,Germany,1937
10,Nissan,Japan,1933
11,Chevrolet,USA,1911
12,Tesla,USA,2003
13,Volvo,Sweden,1927
14,Porsche,Germany,1931
15,Lexus,Japan,1989
16,Alfa Romeo,Italy,1910
17,Aston Martin,United Kingdom,1913
18,Bentley,United Kingdom,1919
19,Bugatti,France,1909
20,Buick,USA,1899
21,BYD Auto,China,2003
22,Cadillac,USA,1902
23,Chery,China,1997
24,Chrysler,USA,1925
25,Citroën,France,1919
26,Dacia,Romania,1966
27,Daewoo Motors,South Korea,1937
28,Daihatsu,Japan,1951
29,Dodge,USA,1900
30,Ferrari,Italy,1939
31,Fiat,Italy,1899
32,Geely,China,1986
33,Genesis Motor,South Korea,2015
34,Great Wall Motors,China,1984
35,Jaguar,United Kingdom,1935
36,Koenigsegg,Sweden,1994
37,Lamborghini,Italy,1963
38,Land Rover,United Kingdom,1948
39,Lincoln,USA,1917
40,Maserati,Italy,1914
41,Mazda,Japan,1920
42,McLaren,United Kingdom,1985
43,Mitsubishi,Japan,1970
44,Peugeot,France,1896
45,Renault,France,1899
