sale_id,customer_id,car_id,sale_date,quantity,discount_percent,final_price
1,274,46,2025-10-19,1,3,46560.0
2,1301,78,2026-01-12,1,2,37240.0
3,131,102,2025-08-24,1,10,450000.0
4,166,29,2025-06-27,1,12,34320.0
5,359,26,2025-09-14,1,12,28160.0
6,420,117,2023-11-13,1,8,69000.0
7,905,100,2025-09-25,1,7,232500.0
8,332,104,2025-04-05,1,7,20460.0
9,1629,56,2025-07-04,1,4,91200.0
10,1589,93,2024-02-09,1,7,13020.0
11,1106,83,2025-05-15,1,15,29750.0
12,1748,15,2025-10-26,1,8,59800.0
13,1010,119,2026-01-17,1,10,1800000.0
14,1079,117,2025-04-06,1,6,70500.0
15,949,90,2025-07-09,1,3,21340.0
16,389,48,2025-04-13,1,10,81000.0
17,871,1,2025-11-08,1,13,20880.0
18,1971,5,2024-03-02,1,15,40800.0
19,447,62,2025-10-03,1,0,52000.0
20,1557,19,2026-06-23,1,2,32340.0
21,1809,113,2023-11-12,1,5,28500.0
22,1664,33,2026-07-01,1,3,25220.0
23,250,41,2026-01-19,1,10,22500.0
24,1006,84,2024-06-08,1,8,32200.0
25,1174,78,2023-12-12,1,3,36860.0
26,432,95,2025-12-24,1,8,13800.0
27,1054,123,2025-11-25,1,12,52800.0
28,390,144,2024-06-10,1,7,26040.0
29,795,1,2025-07-07,1,6,22560.0
30,850,128,2025-11-02,1,12,70400.0
31,1780,117,2026-04-07,1,12,66000.0
32,1892,117,2024-09-14,1,13,65250.0
33,411,59,2026-04-09,1,10,45000.0
34,724,130,2025-06-07,1,14,81700.0
35,1583,38,2023-09-23,1,2,27440.0
36,73,104,2026-05-14,1,5,20900.0
37,137,110,2023-09-22,1,2,58800.0
38,455,139,2025-02-25,1,5,28500.0
39,441,91,2025-02-06,1,12,22880.0
40,175,84,2026-08-11,1,9,31850.0
41,1415,131,2026-01-07,1,7,139500.0
42,1571,125,2023-09-18,1,11,97900.0
43,1896,119,2025-03-11,1,6,1880000.0
44,724,63,2026-08-05,1,3,36860.0
45,547,22,2026-03-15,1,10,28800.0
46,522,42,2024-09-01,1,2,39200.0
47,704,45,2026-02-16,1,2,41160.0
48,1370,56,2024-12-12,1,8,87400.0
49,857,89,2024-01-17,1,3,14550.0
50,846,61,2025-03-05,1,4,43200.0
51,167,100,2024-08-07,1,2,245000.0
52,897,144,2024-08-10,1,13,24360.0
53,1586,141,2023-11-26,1,15,23800.0
54,809,80,2026-04-22,1,9,54600.0
55,1243,73,2026-06-15,1,8,32200.0
56,1089,2,2024-07-24,1,0,32000.0
57,627,44,2024-06-18,1,13,43500.0
58,738,89,2025-07-10,1,9,13650.0
59,617,61,2024-12-06,1,5,42750.0
60,1228,73,2024-03-15,1,1,34650.0
61,1812,56,2026-05-19,1,0,95000.0
62,1324,139,2025-01-12,1,9,27300.0
63,674,53,2026-08-12,1,1,64350.0
64,1217,47,2026-06-02,1,10,72000.0
65,968,70,2023-11-20,1,2,2940000.0
66,1626,12,2023-10-24,1,5,47500.0
67,666,2,2024-05-22,1,10,28800.0
68,1669,103,2025-09-06,1,11,16020.0
69,1407,31,2026-04-24,1,13,50460.0
70,1253,59,2025-01-25,1,6,47000.0
71,399,13,2025-09-24,1,12,36960.0
72,1431,28,2026-05-23,1,15,40800.0
73,142,44,2026-06-26,1,8,46000.0
74,1458,58,2024-07-29,1,11,42720.0
75,1817,92,2026-09-09,1,11,16020.0
76,1049,76,2025-09-24,1,2,39200.0
77,73,61,2024-08-21,1,1,44550.0
78,1247,132,2024-09-20,1,2,23520.0
79,1867,133,2026-05-11,1,10,27000.0
80,410,132,2026-09-01,1,15,20400.0
81,900,69,2024-08-03,1,2,196000.0
82,291,102,2025-06-03,1,4,480000.0
83,1555,142,2025-08-27,1,12,33440.0
84,10,69,2025-01-24,1,4,192000.0
85,1462,114,2024-03-19,1,3,27160.0
86,111,38,2025-09-27,1,12,24640.0
87,1214,114,2024-06-07,1,15,23800.0
88,1999,138,2023-12-25,1,5,33250.0
89,1943,88,2025-02-03,1,15,29750.0
90,1565,119,2024-06-01,1,14,1720000.0
91,1735,109,2025-03-25,1,3,43650.0
92,1941,43,2024-11-15,1,13,52200.0
93,336,58,2025-07-25,1,9,43680.0
94,1203,145,2025-05-21,1,11,31150.0
95,1780,127,2026-06-05,1,6,51700.0
96,744,50,2025-03-28,1,6,54520.0
97,245,35,2024-12-21,1,10,31500.0
98,1693,78,2025-01-06,1,13,33060.0
99,212,51,2023-10-07,1,10,43200.0
100,352,52,2024-06-06,1,14,60200.0
101,1124,63,2023-09-16,1,0,38000.0
102,1458,14,2026-03-21,1,8,50600.0
103,729,72,2026-07-24,1,10,25200.0
104,1344,98,2025-10-11,1,3,48500.0
105,1924,102,2024-07-20,1,15,425000.0
106,194,128,2023-09-14,1,10,72000.0
107,736,80,2024-12-21,1,5,57000.0
108,193,30,2025-10-18,1,15,40800.0
109,1662,112,2024-04-12,1,15,18700.0
110,341,142,2024-11-13,1,11,33820.0
111,218,9,2024-06-21,1,0,23000.0
112,1920,100,2023-10-07,1,14,215000.0
113,1691,5,2024-07-02,1,3,46560.0
114,1207,107,2023-11-09,1,10,22500.0
115,1500,41,2024-07-02,1,3,24250.0
116,947,143,2024-03-18,1,0,20000.0
117,772,113,2023-11-27,1,14,25800.0
118,416,101,2024-06-27,1,8,322000.0
119,1705,6,2026-05-19,1,11,55180.0
120,1478,130,2025-05-07,1,12,83600.0
121,108,61,2025-08-09,1,0,45000.0
122,1115,60,2025-12-14,1,11,80100.0
123,1815,17,2025-01-08,1,7,20460.0
124,1027,13,2023-11-01,1,6,39480.0
125,171,116,2026-08-22,1,5,57000.0
126,64,137,2026-08-18,1,9,20020.0
127,1664,113,2025-01-09,1,10,27000.0
128,1755,132,2024-12-15,1,2,23520.0
129,819,50,2025-03-28,1,8,53360.0
130,1915,122,2025-11-11,1,11,534000.0
131,469,27,2025-03-06,1,6,33840.0
132,1853,57,2024-07-16,1,15,35700.0
133,1634,107,2024-03-03,1,11,22250.0
134,1786,129,2026-04-30,1,14,73100.0
135,1003,127,2024-01-19,1,11,48950.0
136,1235,112,2024-07-17,1,3,21340.0
137,656,109,2024-01-31,1,2,44100.0
138,384,8,2026-03-03,1,4,72000.0
139,499,49,2023-11-08,1,10,40500.0
140,1112,40,2026-06-10,1,10,27000.0
141,879,41,2024-10-24,1,0,25000.0
142,1032,75,2025-10-24,1,15,18700.0
143,1697,117,2023-11-02,1,12,66000.0
144,603,44,2024-09-09,1,13,43500.0
145,498,68,2026-01-10,1,12,202400.0
146,1520,73,2023-11-30,1,3,33950.0
147,177,23,2026-07-07,1,14,34400.0
148,320,137,2023-12-16,1,8,20240.0
149,57,55,2025-01-29,1,5,61750.0
150,694,90,2025-01-09,1,10,19800.0
151,46,105,2024-06-15,1,4,28800.0
152,273,32,2024-12-11,1,3,75660.0
153,543,142,2024-09-02,1,2,37240.0
154,1186,31,2024-09-17,1,6,54520.0
155,207,76,2025-05-25,1,6,37600.0
156,921,29,2024-02-20,1,1,38610.0
157,1158,9,2024-04-15,1,11,20470.0
158,1275,119,2024-02-28,1,0,2000000.0
159,1203,97,2025-09-26,1,13,39150.0
160,511,6,2023-11-01,1,4,59520.0
161,1034,130,2024-05-18,1,9,86450.0
162,863,97,2024-10-03,1,15,38250.0
163,1238,31,2023-12-25,1,15,49300.0
164,304,125,2025-06-28,1,0,110000.0
165,1351,93,2026-09-03,1,1,13860.0
166,1231,49,2024-11-22,1,2,44100.0
167,1403,140,2024-03-03,1,3,20370.0
168,1365,42,2024-06-23,1,8,36800.0
169,1475,44,2024-01-19,1,2,49000.0
170,1703,24,2024-10-18,1,1,47520.0
171,762,50,2023-11-25,1,12,51040.0
172,952,63,2023-10-08,1,12,33440.0
173,353,137,2025-09-13,1,2,21560.0
174,359,53,2023-10-18,1,13,56550.0
175,1076,34,2025-06-02,1,1,31680.0
176,1003,95,2024-12-20,1,7,13950.0
177,1803,63,2025-11-07,1,5,36100.0
178,511,7,2026-08-30,1,11,48950.0
179,343,62,2026-07-30,1,7,48360.0
180,1955,68,2026-07-21,1,10,207000.0
181,1465,95,2025-01-28,1,11,13350.0
182,884,23,2026-05-01,1,14,34400.0
183,1692,139,2025-08-14,1,2,29400.0
184,1345,107,2024-12-16,1,5,23750.0
185,461,27,2025-08-13,1,5,34200.0
186,1877,105,2024-04-03,1,0,30000.0
187,1266,138,2024-12-04,1,11,31150.0
188,1624,137,2024-05-11,1,10,19800.0
189,903,76,2026-01-14,1,4,38400.0
190,191,19,2025-02-27,1,12,29040.0
191,287,50,2025-02-03,1,6,54520.0
192,1304,135,2026-06-04,1,13,217500.0
193,870,140,2025-08-05,1,15,17850.0
194,827,96,2024-09-17,1,12,19360.0
195,528,13,2026-07-27,1,7,39060.0
196,138,121,2025-12-19,1,15,195500.0
197,1014,67,2026-05-18,1,12,220000.0
198,1311,94,2026-06-27,1,6,18800.0
199,1097,61,2023-12-06,1,11,40050.0
200,1468,31,2024-01-05,1,13,50460.0
201,719,32,2026-03-31,1,11,69420.0
202,737,81,2024-09-05,1,6,20680.0
203,1007,83,2025-05-24,1,2,34300.0
204,99,63,2025-04-23,1,14,32680.0
205,651,129,2024-11-13,1,9,77350.0
206,34,26,2025-12-07,1,11,28480.0
207,924,37,2023-12-28,1,13,16530.0
208,1763,13,2024-03-13,1,2,41160.0
209,870,6,2024-06-17,1,0,62000.0
210,1126,16,2025-03-14,1,4,81600.0
211,1994,36,2025-06-13,1,8,38640.0
212,598,10,2025-12-05,1,6,42300.0
213,129,104,2026-04-17,1,14,18920.0
214,1842,22,2026-08-01,1,6,30080.0
215,1454,76,2024-07-14,1,6,37600.0
216,1220,139,2024-05-12,1,2,29400.0
217,1244,33,2026-03-28,1,7,24180.0
218,1219,27,2025-05-18,1,13,31320.0
