airport_id,airport_code,airport_name,city,country
1,CAI,Cairo International Airport,Cairo,Egypt
2,HBE,Borg El Arab International Airport,Alexandria,Egypt
3,DXB,Dubai International Airport,Dubai,UAE
4,AUH,Zayed International Airport,Abu Dhabi,UAE
5,DOH,Hamad International Airport,Doha,Qatar
6,IST,Istanbul Airport,Istanbul,Turkey
7,LHR,Heathrow Airport,London,UK
8,CDG,Charles de Gaulle Airport,Paris,France
9,FRA,Frankfurt Airport,Frankfurt,Germany
10,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands
11,JFK,John F. Kennedy International Airport,New York,USA
12,LAX,Los Angeles International Airport,Los Angeles,USA
13,ORD,O'Hare International Airport,Chicago,USA
14,YYZ,Toronto Pearson International Airport,Toronto,Canada
15,SIN,Singapore Changi Airport,Singapore,Singapore
16,BKK,Suvarnabhumi Airport,Bangkok,Thailand
17,SYD,Sydney Kingsford Smith Airport,Sydney,Australia
18,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain
19,RUH,King Khalid International Airport,Riyadh,Saudi Arabia
20,AMM,Queen Alia International Airport,Amman,Jordan
