booking_id,customer_id,flight_id,booking_date,travel_class,seat_number,ticket_price,booking_status,airline_id,departure_airport_id,arrival_airport_id,departure_date,duration_minutes,flight_status,airline_name,country,fleet_size,departure_code,departure_airport_name,departure_city,departure_country,arrival_code,arrival_airport_name,arrival_city,arrival_country,route
1,275,696,2025-09-22,Business,15C,1291.03,Completed,17,12,19,2026-02-04,497,Delayed,Delta Airlines,USA,216,LAX,Los Angeles International Airport,Los Angeles,USA,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,LAX → RUH
2,11,458,2025-12-27,First Class,36D,412.5,Confirmed,5,15,1,2026-04-26,755,Cancelled,Lufthansa,Germany,145,SIN,Singapore Changi Airport,Singapore,Singapore,CAI,Cairo International Airport,Cairo,Egypt,SIN → CAI
3,250,322,2025-12-17,Economy,27B,167.62,Confirmed,12,18,20,2026-01-17,510,Cancelled,Iberia,Spain,388,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,AMM,Queen Alia International Airport,Amman,Jordan,MAD → AMM
4,393,317,2026-06-20,Business,3E,2573.5,Cancelled,2,9,10,2026-11-22,792,Completed,Emirates,UAE,78,FRA,Frankfurt Airport,Frankfurt,Germany,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,FRA → AMS
5,153,690,2025-12-23,Economy,6F,847.55,Completed,11,12,1,2026-05-24,528,Scheduled,Royal Jordanian,Jordan,231,LAX,Los Angeles International Airport,Los Angeles,USA,CAI,Cairo International Airport,Cairo,Egypt,LAX → CAI
6,483,342,2026-05-08,Economy,35E,319.09,Confirmed,6,11,20,2026-09-23,637,Scheduled,British Airways,UK,272,JFK,John F. Kennedy International Airport,New York,USA,AMM,Queen Alia International Airport,Amman,Jordan,JFK → AMM
7,84,807,2026-05-22,First Class,7B,2780.38,Confirmed,9,4,2,2026-07-15,383,Completed,Etihad Airways,UAE,469,AUH,Zayed International Airport,Abu Dhabi,UAE,HBE,Borg El Arab International Airport,Alexandria,Egypt,AUH → HBE
8,161,120,2025-12-23,First Class,16B,1071.15,Confirmed,8,1,7,2026-01-28,445,Scheduled,KLM,Netherlands,170,CAI,Cairo International Airport,Cairo,Egypt,LHR,Heathrow Airport,London,UK,CAI → LHR
9,105,978,2025-11-19,Premium Economy,13C,1410.21,Cancelled,11,11,16,2026-02-18,559,Completed,Royal Jordanian,Jordan,231,JFK,John F. Kennedy International Airport,New York,USA,BKK,Suvarnabhumi Airport,Bangkok,Thailand,JFK → BKK
10,135,554,2026-05-12,Economy,1E,574.16,Confirmed,6,3,6,2026-09-27,793,Completed,British Airways,UK,272,DXB,Dubai International Airport,Dubai,UAE,IST,Istanbul Airport,Istanbul,Turkey,DXB → IST
11,323,408,2026-01-20,Premium Economy,8B,1242.45,Confirmed,6,12,7,2026-04-27,828,Scheduled,British Airways,UK,272,LAX,Los Angeles International Airport,Los Angeles,USA,LHR,Heathrow Airport,London,UK,LAX → LHR
12,62,790,2026-09-02,Economy,24B,858.35,Confirmed,16,2,1,2026-11-09,443,Completed,American Airlines,USA,65,HBE,Borg El Arab International Airport,Alexandria,Egypt,CAI,Cairo International Airport,Cairo,Egypt,HBE → CAI
13,239,563,2026-07-07,Economy,19C,457.97,Completed,19,8,9,2026-09-25,292,Scheduled,Ryanair,Ireland,227,CDG,Charles de Gaulle Airport,Paris,France,FRA,Frankfurt Airport,Frankfurt,Germany,CDG → FRA
14,203,566,2026-04-06,Business,12B,823.38,Confirmed,20,7,12,2026-05-09,431,Scheduled,Air Canada,Canada,179,LHR,Heathrow Airport,London,UK,LAX,Los Angeles International Airport,Los Angeles,USA,LHR → LAX
15,77,554,2026-09-23,Business,14F,739.7,Confirmed,6,3,6,2026-09-27,793,Completed,British Airways,UK,272,DXB,Dubai International Airport,Dubai,UAE,IST,Istanbul Airport,Istanbul,Turkey,DXB → IST
16,252,957,2026-01-21,Economy,9C,649.5,Completed,11,11,17,2026-02-14,697,Scheduled,Royal Jordanian,Jordan,231,JFK,John F. Kennedy International Airport,New York,USA,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,JFK → SYD
17,51,928,2026-09-01,First Class,27B,4243.73,Cancelled,11,13,18,2026-10-27,319,Scheduled,Royal Jordanian,Jordan,231,ORD,O'Hare International Airport,Chicago,USA,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,ORD → MAD
18,257,362,2026-05-17,Business,15F,2556.86,Confirmed,8,7,18,2026-09-23,375,Delayed,KLM,Netherlands,170,LHR,Heathrow Airport,London,UK,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,LHR → MAD
19,142,683,2026-01-16,Economy,31A,699.74,Cancelled,6,9,19,2026-03-11,147,Completed,British Airways,UK,272,FRA,Frankfurt Airport,Frankfurt,Germany,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,FRA → RUH
20,42,973,2026-09-01,Economy,22B,703.35,Confirmed,15,11,15,2026-11-03,118,Cancelled,Qantas,Australia,324,JFK,John F. Kennedy International Airport,New York,USA,SIN,Singapore Changi Airport,Singapore,Singapore,JFK → SIN
21,157,401,2026-02-28,Economy,6E,657.63,Confirmed,8,8,7,2026-03-22,725,Cancelled,KLM,Netherlands,170,CDG,Charles de Gaulle Airport,Paris,France,LHR,Heathrow Airport,London,UK,CDG → LHR
22,81,456,2025-09-20,Economy,34A,287.31,Confirmed,3,8,13,2026-03-15,768,Delayed,Qatar Airways,Qatar,393,CDG,Charles de Gaulle Airport,Paris,France,ORD,O'Hare International Airport,Chicago,USA,CDG → ORD
23,430,273,2025-11-09,Premium Economy,33B,759.24,Confirmed,15,9,7,2026-02-01,227,Cancelled,Qantas,Australia,324,FRA,Frankfurt Airport,Frankfurt,Germany,LHR,Heathrow Airport,London,UK,FRA → LHR
24,230,13,2026-10-19,Economy,13C,732.66,Completed,4,13,18,2026-11-14,606,Scheduled,Turkish Airlines,Turkey,314,ORD,O'Hare International Airport,Chicago,USA,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,ORD → MAD
25,49,146,2026-05-18,First Class,25E,2943.09,Completed,12,18,19,2026-10-26,751,Cancelled,Iberia,Spain,388,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,MAD → RUH
26,352,502,2026-08-02,Premium Economy,24F,656.64,Confirmed,7,2,3,2026-11-20,151,Cancelled,Air France,France,300,HBE,Borg El Arab International Airport,Alexandria,Egypt,DXB,Dubai International Airport,Dubai,UAE,HBE → DXB
27,437,790,2026-06-24,Economy,7B,519.63,Confirmed,16,2,1,2026-11-09,443,Completed,American Airlines,USA,65,HBE,Borg El Arab International Airport,Alexandria,Egypt,CAI,Cairo International Airport,Cairo,Egypt,HBE → CAI
28,21,634,2026-05-13,Premium Economy,18D,968.85,Cancelled,18,11,3,2026-06-05,805,Completed,United Airlines,USA,434,JFK,John F. Kennedy International Airport,New York,USA,DXB,Dubai International Airport,Dubai,UAE,JFK → DXB
29,62,372,2026-01-04,Premium Economy,5D,1005.88,Cancelled,10,11,10,2026-02-08,826,Cancelled,Saudia,Saudi Arabia,276,JFK,John F. Kennedy International Airport,New York,USA,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,JFK → AMS
30,467,863,2026-09-13,Economy,28E,1072.63,Completed,8,12,20,2026-11-21,195,Delayed,KLM,Netherlands,170,LAX,Los Angeles International Airport,Los Angeles,USA,AMM,Queen Alia International Airport,Amman,Jordan,LAX → AMM
31,490,17,2026-03-21,Business,26F,2158.32,Confirmed,7,15,9,2026-06-11,304,Delayed,Air France,France,300,SIN,Singapore Changi Airport,Singapore,Singapore,FRA,Frankfurt Airport,Frankfurt,Germany,SIN → FRA
32,417,978,2025-11-29,First Class,4B,1010.84,Confirmed,11,11,16,2026-02-18,559,Completed,Royal Jordanian,Jordan,231,JFK,John F. Kennedy International Airport,New York,USA,BKK,Suvarnabhumi Airport,Bangkok,Thailand,JFK → BKK
33,236,467,2026-02-01,Economy,4A,948.54,Confirmed,3,1,11,2026-03-04,381,Scheduled,Qatar Airways,Qatar,393,CAI,Cairo International Airport,Cairo,Egypt,JFK,John F. Kennedy International Airport,New York,USA,CAI → JFK
34,369,971,2025-12-06,Economy,19D,661.18,Completed,8,17,19,2026-01-20,526,Cancelled,KLM,Netherlands,170,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,SYD → RUH
35,40,144,2026-07-03,Economy,20C,608.78,Cancelled,13,11,3,2026-08-25,117,Cancelled,Singapore Airlines,Singapore,298,JFK,John F. Kennedy International Airport,New York,USA,DXB,Dubai International Airport,Dubai,UAE,JFK → DXB
36,497,148,2026-05-31,Business,32F,1939.96,Confirmed,13,8,2,2026-06-09,212,Scheduled,Singapore Airlines,Singapore,298,CDG,Charles de Gaulle Airport,Paris,France,HBE,Borg El Arab International Airport,Alexandria,Egypt,CDG → HBE
37,179,815,2026-08-05,Economy,17B,894.15,Confirmed,19,3,4,2026-10-04,406,Cancelled,Ryanair,Ireland,227,DXB,Dubai International Airport,Dubai,UAE,AUH,Zayed International Airport,Abu Dhabi,UAE,DXB → AUH
38,10,639,2025-11-17,Business,34C,1639.91,Confirmed,11,5,15,2026-04-10,759,Completed,Royal Jordanian,Jordan,231,DOH,Hamad International Airport,Doha,Qatar,SIN,Singapore Changi Airport,Singapore,Singapore,DOH → SIN
39,62,794,2026-04-07,Business,7A,1277.33,Completed,4,4,19,2026-07-30,465,Scheduled,Turkish Airlines,Turkey,314,AUH,Zayed International Airport,Abu Dhabi,UAE,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,AUH → RUH
40,74,619,2026-08-14,First Class,10C,3309.14,Confirmed,15,4,13,2026-11-24,132,Completed,Qantas,Australia,324,AUH,Zayed International Airport,Abu Dhabi,UAE,ORD,O'Hare International Airport,Chicago,USA,AUH → ORD
41,244,82,2026-01-14,Premium Economy,20E,290.67,Completed,6,1,20,2026-05-29,508,Cancelled,British Airways,UK,272,CAI,Cairo International Airport,Cairo,Egypt,AMM,Queen Alia International Airport,Amman,Jordan,CAI → AMM
42,6,436,2026-08-20,First Class,39F,3187.31,Completed,19,1,4,2026-10-29,87,Scheduled,Ryanair,Ireland,227,CAI,Cairo International Airport,Cairo,Egypt,AUH,Zayed International Airport,Abu Dhabi,UAE,CAI → AUH
43,121,156,2025-10-31,Economy,9A,556.34,Confirmed,14,17,13,2026-03-02,782,Scheduled,Thai Airways,Thailand,274,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,ORD,O'Hare International Airport,Chicago,USA,SYD → ORD
44,355,774,2026-11-04,Premium Economy,8D,988.51,Confirmed,15,16,14,2026-11-06,695,Delayed,Qantas,Australia,324,BKK,Suvarnabhumi Airport,Bangkok,Thailand,YYZ,Toronto Pearson International Airport,Toronto,Canada,BKK → YYZ
45,345,5,2026-03-09,Business,24B,1641.93,Confirmed,7,17,8,2026-07-02,634,Cancelled,Air France,France,300,SYD,Sydney Kingsford Smith Airport,Sydney,Australia,CDG,Charles de Gaulle Airport,Paris,France,SYD → CDG
46,392,291,2026-04-18,Economy,17B,249.51,Cancelled,16,3,13,2026-06-06,801,Completed,American Airlines,USA,65,DXB,Dubai International Airport,Dubai,UAE,ORD,O'Hare International Airport,Chicago,USA,DXB → ORD
47,395,71,2025-11-17,Premium Economy,7F,1446.37,Confirmed,6,4,2,2026-03-27,532,Completed,British Airways,UK,272,AUH,Zayed International Airport,Abu Dhabi,UAE,HBE,Borg El Arab International Airport,Alexandria,Egypt,AUH → HBE
48,262,279,2025-11-04,First Class,5E,4385.82,Cancelled,13,14,9,2026-04-13,539,Scheduled,Singapore Airlines,Singapore,298,YYZ,Toronto Pearson International Airport,Toronto,Canada,FRA,Frankfurt Airport,Frankfurt,Germany,YYZ → FRA
49,93,579,2026-02-14,Premium Economy,3E,227.14,Confirmed,11,15,13,2026-03-06,612,Scheduled,Royal Jordanian,Jordan,231,SIN,Singapore Changi Airport,Singapore,Singapore,ORD,O'Hare International Airport,Chicago,USA,SIN → ORD
50,322,4,2026-08-09,Premium Economy,33D,528.84,Confirmed,5,11,4,2026-10-04,260,Completed,Lufthansa,Germany,145,JFK,John F. Kennedy International Airport,New York,USA,AUH,Zayed International Airport,Abu Dhabi,UAE,JFK → AUH
51,16,47,2025-09-13,Premium Economy,11F,1268.99,Confirmed,13,12,3,2026-01-04,601,Scheduled,Singapore Airlines,Singapore,298,LAX,Los Angeles International Airport,Los Angeles,USA,DXB,Dubai International Airport,Dubai,UAE,LAX → DXB
52,242,10,2026-04-23,Economy,35B,270.9,Cancelled,6,11,13,2026-10-01,467,Completed,British Airways,UK,272,JFK,John F. Kennedy International Airport,New York,USA,ORD,O'Hare International Airport,Chicago,USA,JFK → ORD
53,299,225,2026-11-08,Economy,38B,425.48,Completed,10,14,18,2026-11-20,829,Delayed,Saudia,Saudi Arabia,276,YYZ,Toronto Pearson International Airport,Toronto,Canada,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,YYZ → MAD
54,291,750,2025-09-21,Economy,13E,941.23,Confirmed,10,15,3,2026-01-08,154,Delayed,Saudia,Saudi Arabia,276,SIN,Singapore Changi Airport,Singapore,Singapore,DXB,Dubai International Airport,Dubai,UAE,SIN → DXB
55,482,459,2025-08-08,First Class,4F,2266.07,Confirmed,15,6,16,2026-01-25,742,Completed,Qantas,Australia,324,IST,Istanbul Airport,Istanbul,Turkey,BKK,Suvarnabhumi Airport,Bangkok,Thailand,IST → BKK
56,363,853,2026-07-16,Premium Economy,31C,973.64,Completed,15,1,9,2026-12-08,144,Cancelled,Qantas,Australia,324,CAI,Cairo International Airport,Cairo,Egypt,FRA,Frankfurt Airport,Frankfurt,Germany,CAI → FRA
57,22,245,2026-05-07,Premium Economy,26E,792.49,Cancelled,12,8,7,2026-07-17,797,Completed,Iberia,Spain,388,CDG,Charles de Gaulle Airport,Paris,France,LHR,Heathrow Airport,London,UK,CDG → LHR
58,220,620,2026-06-12,Economy,14C,902.33,Cancelled,5,2,18,2026-10-08,146,Delayed,Lufthansa,Germany,145,HBE,Borg El Arab International Airport,Alexandria,Egypt,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,HBE → MAD
59,485,325,2026-01-23,Business,29F,242.29,Completed,8,7,6,2026-05-13,426,Completed,KLM,Netherlands,170,LHR,Heathrow Airport,London,UK,IST,Istanbul Airport,Istanbul,Turkey,LHR → IST
60,77,568,2026-01-06,First Class,32A,4028.08,Confirmed,12,16,5,2026-05-27,710,Scheduled,Iberia,Spain,388,BKK,Suvarnabhumi Airport,Bangkok,Thailand,DOH,Hamad International Airport,Doha,Qatar,BKK → DOH
61,283,346,2026-07-22,Economy,25D,188.58,Completed,19,16,4,2026-09-10,167,Cancelled,Ryanair,Ireland,227,BKK,Suvarnabhumi Airport,Bangkok,Thailand,AUH,Zayed International Airport,Abu Dhabi,UAE,BKK → AUH
62,234,158,2025-10-20,Economy,17F,172.13,Confirmed,3,3,1,2026-02-02,245,Delayed,Qatar Airways,Qatar,393,DXB,Dubai International Airport,Dubai,UAE,CAI,Cairo International Airport,Cairo,Egypt,DXB → CAI
63,404,659,2025-09-02,Business,31F,601.98,Confirmed,11,16,19,2026-02-14,448,Cancelled,Royal Jordanian,Jordan,231,BKK,Suvarnabhumi Airport,Bangkok,Thailand,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,BKK → RUH
64,446,770,2026-09-06,First Class,38A,1028.58,Completed,20,11,7,2026-12-09,372,Delayed,Air Canada,Canada,179,JFK,John F. Kennedy International Airport,New York,USA,LHR,Heathrow Airport,London,UK,JFK → LHR
65,500,758,2026-11-02,Economy,15D,758.17,Confirmed,9,15,18,2026-12-28,792,Completed,Etihad Airways,UAE,469,SIN,Singapore Changi Airport,Singapore,Singapore,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,SIN → MAD
66,54,4,2026-08-09,Business,6A,1384.95,Completed,5,11,4,2026-10-04,260,Completed,Lufthansa,Germany,145,JFK,John F. Kennedy International Airport,New York,USA,AUH,Zayed International Airport,Abu Dhabi,UAE,JFK → AUH
67,481,776,2025-08-28,Premium Economy,22E,135.3,Cancelled,17,16,13,2026-01-03,722,Scheduled,Delta Airlines,USA,216,BKK,Suvarnabhumi Airport,Bangkok,Thailand,ORD,O'Hare International Airport,Chicago,USA,BKK → ORD
