Booking_ID,Customer_ID,Flight_ID,Booking_Date,Travel_Class,Seat_Number,Ticket_Price,Booking_Status
1,275,696,2025-09-22,Business,15C,1291.03,Completed
2,11,458,2025-12-27,First Class,36D,412.5,Confirmed
3,250,322,2025-12-17,Economy,27B,167.62,Confirmed
4,393,317,2026-06-20,Business,3E,2573.5,Cancelled
5,153,690,2025-12-23,Economy,6F,847.55,Completed
6,483,342,2026-05-08,Economy,35E,319.09,Confirmed
7,84,807,2026-05-22,First Class,7B,2780.38,Confirmed
8,161,120,2025-12-23,First Class,16B,1071.15,Confirmed
9,105,978,2025-11-19,Premium Economy,13C,1410.21,Cancelled
10,135,554,2026-05-12,Economy,1E,574.16,Confirmed
11,323,408,2026-01-20,Premium Economy,8B,1242.45,Confirmed
12,62,790,2026-09-02,Economy,24B,858.35,Confirmed
13,239,563,2026-07-07,Economy,19C,457.97,Completed
14,203,566,2026-04-06,Business,12B,823.38,Confirmed
15,77,554,2026-09-23,Business,14F,739.7,Confirmed
16,252,957,2026-01-21,Economy,9C,649.5,Completed
17,51,928,2026-09-01,First Class,27B,4243.73,Cancelled
18,257,362,2026-05-17,Business,15F,2556.86,Confirmed
19,142,683,2026-01-16,Economy,31A,699.74,Cancelled
20,42,973,2026-09-01,Economy,22B,703.35,Confirmed
21,157,401,2026-02-28,Economy,6E,657.63,Confirmed
22,81,456,2025-09-20,Economy,34A,287.31,Confirmed
23,430,273,2025-11-09,Premium Economy,33B,759.24,Confirmed
24,230,13,2026-10-19,Economy,13C,732.66,Completed
25,49,146,2026-05-18,First Class,25E,2943.09,Completed
26,352,502,2026-08-02,Premium Economy,24F,656.64,Confirmed
27,437,790,2026-06-24,Economy,7B,519.63,Confirmed
28,21,634,2026-05-13,Premium Economy,18D,968.85,Cancelled
29,62,372,2026-01-04,Premium Economy,5D,1005.88,Cancelled
30,467,863,2026-09-13,Economy,28E,1072.63,Completed
31,490,17,2026-03-21,Business,26F,2158.32,Confirmed
32,417,978,2025-11-29,First Class,4B,1010.84,Confirmed
33,236,467,2026-02-01,Economy,4A,948.54,Confirmed
34,369,971,2025-12-06,Economy,19D,661.18,Completed
35,40,144,2026-07-03,Economy,20C,608.78,Cancelled
36,497,148,2026-05-31,Business,32F,1939.96,Confirmed
37,179,815,2026-08-05,Economy,17B,894.15,Confirmed
38,10,639,2025-11-17,Business,34C,1639.91,Confirmed
39,62,794,2026-04-07,Business,7A,1277.33,Completed
40,74,619,2026-08-14,First Class,10C,3309.14,Confirmed
41,244,82,2026-01-14,Premium Economy,20E,290.67,Completed
42,6,436,2026-08-20,First Class,39F,3187.31,Completed
43,121,156,2025-10-31,Economy,9A,556.34,Confirmed
44,355,774,2026-11-04,Premium Economy,8D,988.51,Confirmed
45,345,5,2026-03-09,Business,24B,1641.93,Confirmed
46,392,291,2026-04-18,Economy,17B,249.51,Cancelled
47,395,71,2025-11-17,Premium Economy,7F,1446.37,Confirmed
48,262,279,2025-11-04,First Class,5E,4385.82,Cancelled
49,93,579,2026-02-14,Premium Economy,3E,227.14,Confirmed
50,322,4,2026-08-09,Premium Economy,33D,528.84,Confirmed
51,16,47,2025-09-13,Premium Economy,11F,1268.99,Confirmed
52,242,10,2026-04-23,Economy,35B,270.9,Cancelled
53,299,225,2026-11-08,Economy,38B,425.48,Completed
54,291,750,2025-09-21,Economy,13E,941.23,Confirmed
55,482,459,2025-08-08,First Class,4F,2266.07,Confirmed
56,363,853,2026-07-16,Premium Economy,31C,973.64,Completed
